rule,pair,K,exact,exact_float,float_tolerant,equal
all_mitoses,gray_bbox - default_51,10,5/8,0.625,0.625,True
all_mitoses,gray_bbox - default_51,20,1/8,0.125,0.125,True
all_mitoses,gray_bbox - default_51,30,19/64,0.296875,0.296875,True
all_mitoses,hem_bbox - default_51,10,1/16,0.0625,0.0625,True
all_mitoses,hem_bbox - default_51,20,3/1024,0.0029296875,0.0029296875,True
all_mitoses,hem_bbox - default_51,30,7/1024,0.0068359375,0.0068359375,True
all_mitoses,hem_bbox - gray_bbox,10,1/4,0.25,0.25,True
all_mitoses,hem_bbox - gray_bbox,20,23/256,0.08984375,0.08984375,True
all_mitoses,hem_bbox - gray_bbox,30,25/256,0.09765625,0.09765625,True
contested_excluded,gray_bbox - default_51,10,1/2,0.5,0.5,True
contested_excluded,gray_bbox - default_51,20,1/16,0.0625,0.0625,True
contested_excluded,gray_bbox - default_51,30,61/256,0.23828125,0.23828125,True
contested_excluded,hem_bbox - default_51,10,5/32,0.15625,0.15625,True
contested_excluded,hem_bbox - default_51,20,7/2048,0.00341796875,0.00341796875,True
contested_excluded,hem_bbox - default_51,30,13/4096,0.003173828125,0.003173828125,True
contested_excluded,hem_bbox - gray_bbox,10,15/32,0.46875,0.46875,True
contested_excluded,hem_bbox - gray_bbox,20,117/1024,0.1142578125,0.1142578125,True
contested_excluded,hem_bbox - gray_bbox,30,5/64,0.078125,0.078125,True
contested_as_fp,gray_bbox - default_51,10,1,1.0,1.0,True
contested_as_fp,gray_bbox - default_51,20,5/32,0.15625,0.15625,True
contested_as_fp,gray_bbox - default_51,30,19/64,0.296875,0.296875,True
contested_as_fp,hem_bbox - default_51,10,1,1.0,1.0,True
contested_as_fp,hem_bbox - default_51,20,33/512,0.064453125,0.064453125,True
contested_as_fp,hem_bbox - default_51,30,151/4096,0.036865234375,0.036865234375,True
contested_as_fp,hem_bbox - gray_bbox,10,1,1.0,1.0,True
contested_as_fp,hem_bbox - gray_bbox,20,25/64,0.390625,0.390625,True
contested_as_fp,hem_bbox - gray_bbox,30,359/2048,0.17529296875,0.17529296875,True
