file_name,arm,quantity,audit,notebook,agrees
013.tiff,tm_score,base_size,39,39,True
013.tiff,tm_score,seed_ann_id,249,249,True
013.tiff,tm_score,n_gt_mitotic,17,17,True
013.tiff,tm_score,n_detections,18412,18412,True
013.tiff,tm_score,tp_at_10,6,6,True
013.tiff,tm_score,tp_at_20,6,6,True
013.tiff,tm_score,tp_at_30,7,7,True
013.tiff,tm_score,tp_at_50,7,7,True
013.tiff,chromatin_od,base_size,39,39,True
013.tiff,chromatin_od,seed_ann_id,249,249,True
013.tiff,chromatin_od,n_gt_mitotic,17,17,True
013.tiff,chromatin_od,n_detections,18412,18412,True
013.tiff,chromatin_od,tp_at_10,5,5,True
013.tiff,chromatin_od,tp_at_20,8,8,True
013.tiff,chromatin_od,tp_at_30,11,11,True
013.tiff,chromatin_od,tp_at_50,13,13,True
094.tiff,tm_score,base_size,23,23,True
094.tiff,tm_score,seed_ann_id,2512,2512,True
094.tiff,tm_score,n_gt_mitotic,81,81,True
094.tiff,tm_score,n_detections,18813,18813,True
094.tiff,tm_score,tp_at_10,5,5,True
094.tiff,tm_score,tp_at_20,9,9,True
094.tiff,tm_score,tp_at_30,15,15,True
094.tiff,tm_score,tp_at_50,21,21,True
094.tiff,chromatin_od,base_size,23,23,True
094.tiff,chromatin_od,seed_ann_id,2512,2512,True
094.tiff,chromatin_od,n_gt_mitotic,81,81,True
094.tiff,chromatin_od,n_detections,18813,18813,True
094.tiff,chromatin_od,tp_at_10,5,5,True
094.tiff,chromatin_od,tp_at_20,15,15,True
094.tiff,chromatin_od,tp_at_30,19,19,True
094.tiff,chromatin_od,tp_at_50,32,32,True
201.tiff,tm_score,base_size,29,29,True
201.tiff,tm_score,seed_ann_id,4457,4457,True
201.tiff,tm_score,n_gt_mitotic,17,17,True
201.tiff,tm_score,n_detections,17139,17139,True
201.tiff,tm_score,tp_at_10,4,4,True
201.tiff,tm_score,tp_at_20,5,5,True
201.tiff,tm_score,tp_at_30,5,5,True
201.tiff,tm_score,tp_at_50,6,6,True
201.tiff,chromatin_od,base_size,29,29,True
