table,key,column,notebook,audit,match
identity,top30,rows present in both runs,1260,1260,True
identity,top30 vs 17:40 top30,cx,1260,1260,True
identity,top30 vs 17:40 top30,cy,1260,1260,True
identity,top30 vs 17:40 top30,od,1260,1260,True
identity,top30 vs 17:40 top30,bucket,1260,1260,True
identity,top30 vs 17:40 top30,matched_ann_id,1260,1260,True
identity,top30 vs round-1 pixel re-implementation,"identical (cx, cy)",1260,1260,True
identity,verification,rows / passed,267/267,267/267,True
top30,013.tiff/default_51,bucket agreement (30),30,30,True
per_roi,013.tiff/default_51,tp_at_10,6,6,True
per_roi,013.tiff/default_51,precision_at_10,0.6,0.6,True
per_roi,013.tiff/default_51,tp_at_20,8,8,True
per_roi,013.tiff/default_51,precision_at_20,0.4,0.4,True
per_roi,013.tiff/default_51,tp_at_30,9,9,True
per_roi,013.tiff/default_51,precision_at_30,0.3,0.3,True
top30,013.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,013.tiff/gray_bbox,tp_at_10,6,6,True
per_roi,013.tiff/gray_bbox,precision_at_10,0.6,0.6,True
per_roi,013.tiff/gray_bbox,tp_at_20,8,8,True
per_roi,013.tiff/gray_bbox,precision_at_20,0.4,0.4,True
per_roi,013.tiff/gray_bbox,tp_at_30,9,9,True
per_roi,013.tiff/gray_bbox,precision_at_30,0.3,0.3,True
top30,013.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,013.tiff/hem_bbox,tp_at_10,6,6,True
per_roi,013.tiff/hem_bbox,precision_at_10,0.6,0.6,True
per_roi,013.tiff/hem_bbox,tp_at_20,9,9,True
per_roi,013.tiff/hem_bbox,precision_at_20,0.45,0.45,True
per_roi,013.tiff/hem_bbox,tp_at_30,10,10,True
per_roi,013.tiff/hem_bbox,precision_at_30,0.3333333333333333,0.3333333333333333,True
top30,094.tiff/default_51,bucket agreement (30),30,30,True
per_roi,094.tiff/default_51,tp_at_10,5,5,True
per_roi,094.tiff/default_51,precision_at_10,0.5,0.5,True
per_roi,094.tiff/default_51,tp_at_20,15,15,True
per_roi,094.tiff/default_51,precision_at_20,0.75,0.75,True
per_roi,094.tiff/default_51,tp_at_30,21,21,True
per_roi,094.tiff/default_51,precision_at_30,0.7,0.7,True
top30,094.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,094.tiff/gray_bbox,tp_at_10,5,5,True
per_roi,094.tiff/gray_bbox,precision_at_10,0.5,0.5,True
per_roi,094.tiff/gray_bbox,tp_at_20,15,15,True
per_roi,094.tiff/gray_bbox,precision_at_20,0.75,0.75,True
per_roi,094.tiff/gray_bbox,tp_at_30,22,22,True
per_roi,094.tiff/gray_bbox,precision_at_30,0.7333333333333333,0.7333333333333333,True
top30,094.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,094.tiff/hem_bbox,tp_at_10,5,5,True
per_roi,094.tiff/hem_bbox,precision_at_10,0.5,0.5,True
per_roi,094.tiff/hem_bbox,tp_at_20,14,14,True
per_roi,094.tiff/hem_bbox,precision_at_20,0.7,0.7,True
