cell,claim,claimed,recomputed,match
27,order default_51 > gray_bbox > hem_bbox holds in all_49 for each click index at every K (9 seed x K cells),9/9,9/9,True
27,order default_51 > gray_bbox > hem_bbox holds at every K (all_49 pooled),3/3,3/3,True
23,"Figure 1 rendered bar labels (27, read off the PNG)",27,27,True
24,"Figure 2 rendered cells spot-checked (8, read off the PNG)",8,8,True
24,Figure 2 shared colour limit = max |cell| (colourbar reads to about +-1.2),1.2,1.2,True
25,"Figure 3 rendered cells spot-checked (6 deltas + W/L/T, read off the PNG)",6,6,True
26,"Figure 4 rendered stacks and Holm labels (9 bars, read off the PNG)",9,9,True
27,contested share of top-K TPs spans 23.1-25.8% across conditions and K,0.231-0.258,0.231-0.258,True
27,every all_49 K=20/30 contrast keeps Holm p <= 0.05 and D5 bar under all three rules,True,True,True
27,testing_35 hem_bbox - gray_bbox K=20 under contested_as_fp Holm p,0.065,0.065,True
27,hem_bbox - default_51 K=20 under contested_as_fp (points),-4.52,-4.52,True
10,Table A all_49 n_clicks,147,147,True
10,Table A all_49 gray_median,39.0,39.0,True
10,Table A all_49 gray_range,23-51,23-51,True
10,Table A all_49 gray_below,116,116,True
10,Table A all_49 gray_off,2.55,2.55,True
10,Table A all_49 hem_median,29.0,29.0,True
10,Table A all_49 hem_range,19-51,19-51,True
10,Table A all_49 hem_below,144,144,True
10,Table A all_49 hem_off,2.5,2.5,True
10,Table A all_49 hem_lt,135,135,True
10,Table A all_49 hem_eq,12,12,True
10,Table A all_49 hem_gt,0,0,True
10,Table A all_49 ceiling,31,31,True
10,Table A all_49 refusal,26,26,True
10,Table A all_49 dflt,26,26,True
10,Table A all_49 gray,10,10,True
10,Table A original_14 n_clicks,42,42,True
10,Table A original_14 gray_median,40.0,40.0,True
10,Table A original_14 gray_range,23-51,23-51,True
10,Table A original_14 gray_below,32,32,True
10,Table A original_14 gray_off,2.368,2.368,True
10,Table A original_14 hem_median,29.0,29.0,True
10,Table A original_14 hem_range,19-41,19-41,True
10,Table A original_14 hem_below,42,42,True
10,Table A original_14 hem_off,2.693,2.693,True
10,Table A original_14 hem_lt,41,41,True
10,Table A original_14 hem_eq,1,1,True
10,Table A original_14 hem_gt,0,0,True
10,Table A original_14 ceiling,10,10,True
10,Table A original_14 refusal,12,12,True
10,Table A original_14 dflt,12,12,True
10,Table A original_14 gray,6,6,True
10,Table A testing_35 n_clicks,105,105,True
10,Table A testing_35 gray_median,39.0,39.0,True
10,Table A testing_35 gray_range,23-51,23-51,True
10,Table A testing_35 gray_below,84,84,True
10,Table A testing_35 gray_off,2.915,2.915,True
10,Table A testing_35 hem_median,29.0,29.0,True
10,Table A testing_35 hem_range,19-51,19-51,True
10,Table A testing_35 hem_below,102,102,True
10,Table A testing_35 hem_off,2.236,2.236,True
10,Table A testing_35 hem_lt,94,94,True
10,Table A testing_35 hem_eq,11,11,True
10,Table A testing_35 hem_gt,0,0,True
10,Table A testing_35 ceiling,21,21,True
10,Table A testing_35 refusal,14,14,True
10,Table A testing_35 dflt,14,14,True
10,Table A testing_35 gray,4,4,True
10,refused draws by refusing condition(s),"{'gray_bbox+hem_bbox': 16, 'hem_bbox': 10, 'gray_bbox': 2}","{'gray_bbox+hem_bbox': 16, 'hem_bbox': 10, 'gray_bbox': 2}",True
8,Gate B cases (identical template),17,17,True
8,Gate B gray_bbox = default_51 cases,11,11,True
8,Gate B hem_bbox = gray_bbox cases,6,6,True
8,Gate B cases with identical top-30 and TP,17,17,True
8,Gate B geometry and SHA tests agree,17,17,True
27,Gate B sub-pixel centre offsets,"0.5,0.5,0.707","0.5,0.5,0.707",True
8,verification records / halt failures,2600/0,2600/0,True
6,"self-hits removed per run {0: 11, 1: 430}","{0: 11, 1: 430}","{0: 11, 1: 430}",True
6,n_detections min/max,81/100,81/100,True
6,n_peaks == 100 on all runs,441,441,True
6,runs with a candidate within one match radius of the click,0,0,True
6,min joint-valid pool (201.tiff;364.tiff),6 (201.tiff;364.tiff),6 (201.tiff;364.tiff),True
6,contested seed tier used on 0 clicks,0,0,True
27,"all_49 pooled precision ('default_51', 10)",0.5694,0.5694,True
27,"all_49 pooled precision ('gray_bbox', 10)",0.5612,0.5612,True
27,"all_49 pooled precision ('hem_bbox', 10)",0.5395,0.5395,True
27,"all_49 pooled precision ('default_51', 20)",0.4969,0.4969,True
27,"all_49 pooled precision ('gray_bbox', 20)",0.4735,0.4735,True
27,"all_49 pooled precision ('hem_bbox', 20)",0.4405,0.4405,True
27,"all_49 pooled precision ('default_51', 30)",0.4331,0.4331,True
27,"all_49 pooled precision ('gray_bbox', 30)",0.4136,0.4136,True
27,"all_49 pooled precision ('hem_bbox', 30)",0.3798,0.3798,True
27,gray_bbox - default_51 K=10 pooled delta pts,-0.82,-0.82,True
27,gray_bbox - default_51 K=10 CI pts,"[-2.52, +0.95]","[-2.52, +0.95]",True
27,gray_bbox - default_51 K=10 W/L/T,15/18/16,15/18/16,True
27,gray_bbox - default_51 K=10 exact p (2 sf),0.4,0.4,True
27,gray_bbox - default_51 K=10 Holm p (2 sf),0.4,0.4,True
27,gray_bbox - default_51 K=10 D5 bar,False,False,True
