id,quote,quote_in_cell_28,stated,recomputed,holds,source
C01,the D9 cap bound on 42/42 runs,True,42/42,verification 42/42; round-1 pixel n_peaks==100 on 42/42,True,verification CSV; round-1 pixel runs
C02,every K was fully delivered,True,n_detections >= 30 on 42/42,min n_detections 94; equal to round-1 pixel n_detections on 42/42,True,per_roi CSV; round-1 pixel runs
C03,no candidate survived within one match radius of the click (42/42),True,0 on 42/42,full post-NMS lists (round-1 pixels): 0 within r of the JSON click over 4111 candidates,True,"JSON click, TIFF mpp, round-1 full lists"
C04,the 14 clicks match the reference notebook's,True,14/14,joint == REF_SEED_ANN_IDS on 14/14; == round-1 pixel walk on 14/14,True,per_roi CSV; cell 1 dict; round-1 pixel walk
C05,both Otsu conditions reproduce its `chromatin_od` numbers on 28/28 rows,True,28/28,28/28,True,reference raw CSV vs round-1 pixel geometry and JSON-rematched TP
C06,`default_51` returns the identical top-30 list wherever its template is the same pixels as `gray_bbox`'s,True,identical wherever same pixels,"same-pixel ROIs ['201.tiff', '245.tiff']; identical top-30 and TP on ['201.tiff', '245.tiff'] (the notebook's Gate 3 tested only offset==0: 245)",True,round-1 pixel geometry; top30 CSV
C07,"re-derived all 42 top-30 lists and every TP count from the pixels and the annotation JSON, without `midog_utils`, and found 0 divergences",True,"42 lists, 0 divergences, no midog_utils",round-1 imports midog_utils: False; pixel top-30 identical 42/42; round-1 divergences 0; 20:16 top-30 == round-1 pixel lists 1260/1260,True,round-1 script and tables; identity chain to 20:16
C08,7.5 um (29.6-33.1 px per ROI),True,29.6-33.1,29.6-33.1,True,TIFF resolution tags
C09,"TP counts were identical in all 126 (run, K) cells under each of",True,"126/126 under Hungarian, mitoses only, radius +-1 px","{'hungarian_mitoses': 126, 'mitoses_only_greedy': 126, 'radius_minus_1px': 126, 'radius_plus_1px': 126}",True,20:16 top30 CSV rematched from JSON under each rule
C10,No top-30 detection had both a mitosis and a look-alike within the radius,True,0,0,True,20:16 top30 CSV vs JSON
C11,no other annotation lies within one radius of any click,True,none,min over clicks of (nearest other annotation px - radius px) = 29.4,True,JSON
C12,| 10 | 0.671 | 0.657 | 0.636 |,True,0.671 0.657 0.636 / 0.632 0.604 0.564 / 0.567 0.550 0.524,0.671 0.657 0.636 / 0.632 0.604 0.564 / 0.567 0.550 0.524,True,JSON-rematched TP
C13,pooled precision falls in the same order at every budget: `default_51` > `gray_bbox` > `hem_bbox`,True,strict order at K=10/20/30; neither Otsu beats default,True,True,JSON-rematched TP
C14,`hem_bbox` vs. `default_51` is the one contrast that resolves.,True,only hem-default has Holm <= 0.05,"{'gray_bbox - default_51': [], 'hem_bbox - default_51': [20], 'hem_bbox - gray_bbox': []}",True,"exact sign flip, exact Holm over 9"
C15,"It survives excluding contested mitoses, but not counting them as false positives.",True,contested_excluded resolves at some K; contested_as_fp at none,"{'all_mitoses': [20], 'contested_excluded': [20, 30], 'contested_as_fp': []}",True,"exact, Holm within each rule"
C16,costs 3.6 / 6.8 / 4.3 points of precision at K = 10 / 20 / 30,True,3.6/6.8/4.3,3.6/6.8/4.3,True,JSON-rematched TP
C17,it loses on 5 / 11 / 10 ROIs and wins on 0 / 1 / 1 (the one win is `013.tiff`),True,5/11/10; 0/1/1; 013,"[5, 11, 10]; [0, 1, 1]; ['013.tiff']",True,JSON-rematched TP
C18,exact sign-flip p = 0.0625 / 0.0029 / 0.0068,True,0.0625/0.0029/0.0068,1/16/3/1024/7/1024,True,exact rational enumeration
C19,"that is 0.44 / 0.026 / 0.055, so K = 20 is resolved and K = 30 just misses",True,0.44/0.026/0.055; K20 <= 0.05 < K30,7/16/27/1024/7/128,True,exact Holm over 9
C20,"At K = 10 only 5 ROIs differ, so the smallest p the test could return is 0.0625",True,5; 0.0625,5; 1/16,True,exact
C21,about a quarter (22.5-25.5%) of top-K TPs are contested mitoses,True,22.5-25.5%,22.5-25.5% (per condition x K),True,JSON votes
C22,keeps the result (Holm p 0.029 at K = 20 and at K = 30),True,0.029/0.029,117/4096/117/4096,True,exact
