tier,file_name,image_id,n_mitotic,n_unanimous_pool,agreement_flagged,n_gate_valid,mpp,checks_passed
existing_7,353.tiff,353,63,47,False,45,0.22744,ALL
existing_7,364.tiff,364,23,7,False,6,0.22632,ALL
existing_7,400.tiff,400,104,91,False,84,0.22686,ALL
existing_7,401.tiff,401,19,14,False,12,0.22686,ALL
existing_7,402.tiff,402,105,65,False,58,0.22632,ALL
existing_7,403.tiff,403,53,36,False,30,0.22686,ALL
existing_7,404.tiff,404,61,49,False,40,0.22632,ALL
unanimous_new,351.tiff,351,4,4,False,3,0.22744,ALL
unanimous_new,352.tiff,352,7,3,False,2,0.22632,ALL
unanimous_new,356.tiff,356,18,11,False,10,0.22686,ALL
unanimous_new,362.tiff,362,4,3,False,2,0.22632,ALL
unanimous_new,363.tiff,363,11,3,False,3,0.22744,ALL
unanimous_new,365.tiff,365,8,6,False,5,0.22691,ALL
unanimous_new,374.tiff,374,10,5,False,3,0.22632,ALL
unanimous_new,376.tiff,376,6,4,False,3,0.22686,ALL
unanimous_new,389.tiff,389,15,4,False,4,0.22635,ALL
unanimous_new,390.tiff,390,6,4,False,1,0.22635,ALL
unanimous_new,391.tiff,391,7,3,False,2,0.22632,ALL
unanimous_new,394.tiff,394,5,4,False,4,0.22683,ALL
unanimous_new,399.tiff,399,8,3,False,3,0.22664,ALL
contested_2of3,350.tiff,350,4,4,True,4,0.22744,ALL
contested_2of3,392.tiff,392,6,5,True,5,0.22632,ALL
contested_2of3,361.tiff,361,4,4,True,4,0.22744,ALL
contested_2of3,379.tiff,379,4,4,True,4,0.22629,ALL
contested_2of3,383.tiff,383,4,4,True,4,0.22632,ALL
contested_2of3,371.tiff,371,3,3,True,1,0.22683,ALL
contested_2of3,373.tiff,373,3,3,True,3,0.22683,ALL
